C'est l'ordre d'évaluation initial des activités calculé par FET. Si la génération se bloque après un certain nombre d'activités, merci de vérifier l'activité correspondant au numéro n + 1. Vous pourriez découvrir des erreurs dans votre saisie.

L'ordre initial des activités (IDs) :

No : 1, ID : 21, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 4e - A
No : 2, ID : 22, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 4e - A
No : 3, ID : 23, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 4e - A
No : 4, ID : 34, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 5e - A
No : 5, ID : 35, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 5e - A
No : 6, ID : 36, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 5e - A
No : 7, ID : 37, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 5e - A
No : 8, ID : 1, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 3e - A
No : 9, ID : 2, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 3e - A
No : 10, ID : 3, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 3e - A
No : 11, ID : 4, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 3e - A
No : 12, ID : 6, Enseignants : François Fillon, Matière : Musique, Codes activité : , Apprenants : 3e - A
No : 13, ID : 11, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 3e - B
No : 14, ID : 12, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 3e - B
No : 15, ID : 13, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 3e - B
No : 16, ID : 14, Enseignants : Marc Dupont, Matière : Mathématiques, Codes activité : , Apprenants : 3e - B
No : 17, ID : 16, Enseignants : François Fillon, Matière : Musique, Codes activité : , Apprenants : 3e - B
No : 18, ID : 39, Enseignants : François Fillon, Matière : Musique, Codes activité : , Apprenants : 5e - A
No : 19, ID : 40, Enseignants : François Fillon, Matière : Musique, Codes activité : , Apprenants : 5e - A
No : 20, ID : 41, Enseignants : François Fillon, Matière : Musique, Codes activité : , Apprenants : 5e - A
No : 21, ID : 42, Enseignants : François Fillon, Matière : Musique, Codes activité : , Apprenants : 5e - A
No : 22, ID : 43, Enseignants : François Fillon, Matière : Musique, Codes activité : , Apprenants : 5e - A
No : 23, ID : 25, Enseignants : François Fillon, Matière : Musique, Codes activité : , Apprenants : 4e - A
No : 24, ID : 26, Enseignants : François Fillon, Matière : Musique, Codes activité : , Apprenants : 4e - A
No : 25, ID : 27, Enseignants : François Fillon, Matière : Musique, Codes activité : , Apprenants : 4e - A
No : 26, ID : 28, Enseignants : François Fillon, Matière : Musique, Codes activité : , Apprenants : 4e - A
No : 27, ID : 29, Enseignants : François Fillon, Matière : Musique, Codes activité : , Apprenants : 4e - A
No : 28, ID : 45, Enseignants : Moi Même, Matière : TP de physique, Codes activité : , Apprenants : 5e - A
No : 29, ID : 46, Enseignants : Moi Même, Matière : TP de physique, Codes activité : , Apprenants : 5e - A
No : 30, ID : 31, Enseignants : Moi Même, Matière : TP de physique, Codes activité : , Apprenants : 4e - A
No : 31, ID : 32, Enseignants : Moi Même, Matière : TP de physique, Codes activité : , Apprenants : 4e - A
No : 32, ID : 8, Enseignants : Moi Même, Matière : TP de physique, Codes activité : , Apprenants : 3e - A
No : 33, ID : 9, Enseignants : Moi Même, Matière : TP de physique, Codes activité : , Apprenants : 3e - A
No : 34, ID : 18, Enseignants : Moi Même, Matière : TP de physique, Codes activité : , Apprenants : 3e - B
No : 35, ID : 19, Enseignants : Moi Même, Matière : TP de physique, Codes activité : , Apprenants : 3e - B
Fin - l'ordre des activités (IDs)
